case,size,index,horizon,bin_acc,IC,IC_p
y2024,소(406),KOSDAQ,1,0.474,0.138,0.561
y2024,소(406),KOSDAQ,5,0.389,-0.432,0.057
y2024,소(406),KOSPI,1,0.562,0.161,0.498
y2024,소(406),KOSPI,5,0.529,-0.314,0.177
y2024,소(406),KOSDAQ,1,0.526,-0.392,0.087
y2024,소(406),KOSDAQ,5,0.389,-0.165,0.486
y2024,소(406),KOSPI,1,0.438,-0.195,0.409
y2024,소(406),KOSPI,5,0.529,-0.027,0.91
y2024,소(406),KOSDAQ,1,0.526,-0.289,0.217
y2024,소(406),KOSDAQ,5,0.389,-0.023,0.925
y2024,소(406),KOSPI,1,0.438,-0.223,0.346
y2024,소(406),KOSPI,5,0.529,-0.101,0.673
y2024,소(406),KOSDAQ,1,0.526,0.023,0.925
y2024,소(406),KOSDAQ,5,0.389,-0.232,0.326
y2024,소(406),KOSPI,1,0.438,0.084,0.724
y2024,소(406),KOSPI,5,0.588,-0.265,0.259
y2024,소(406),KOSDAQ,1,0.474,-0.364,0.115
y2024,소(406),KOSDAQ,5,0.389,-0.218,0.356
y2024,소(406),KOSPI,1,0.562,-0.331,0.154
y2024,소(406),KOSPI,5,0.529,-0.17,0.474
y2022,소(406),KOSDAQ,1,0.688,-0.303,0.182
y2022,소(406),KOSDAQ,5,0.824,0.073,0.754
y2022,소(406),KOSPI,1,0.733,-0.221,0.336
y2022,소(406),KOSPI,5,0.929,0.144,0.533
y2022,소(406),KOSDAQ,1,0.688,-0.097,0.674
y2022,소(406),KOSDAQ,5,0.824,-0.212,0.357
y2022,소(406),KOSPI,1,0.733,0.004,0.987
y2022,소(406),KOSPI,5,0.929,-0.201,0.382
y2022,소(406),KOSDAQ,1,0.688,-0.04,0.862
y2022,소(406),KOSDAQ,5,0.824,-0.581,0.006
y2022,소(406),KOSPI,1,0.733,0.042,0.858
y2022,소(406),KOSPI,5,0.929,-0.56,0.008
y2022,소(406),KOSDAQ,1,0.688,-0.094,0.687
y2022,소(406),KOSDAQ,5,0.176,0.144,0.533
y2022,소(406),KOSPI,1,0.733,-0.084,0.716
y2022,소(406),KOSPI,5,0.071,0.161,0.486
y2022,소(406),KOSDAQ,1,0.312,0.081,0.729
y2022,소(406),KOSDAQ,5,0.176,-0.092,0.691
y2022,소(406),KOSPI,1,0.267,0.208,0.366
y2022,소(406),KOSPI,5,0.071,0.047,0.841
multiyear,대(1358),KOSDAQ,1,0.537,0.063,0.331
multiyear,대(1358),KOSDAQ,5,0.474,0.112,0.08
multiyear,대(1358),KOSPI,1,0.575,0.12,0.062
multiyear,대(1358),KOSPI,5,0.542,0.182,0.004
multiyear,대(1358),KOSDAQ,1,0.514,0.026,0.688
multiyear,대(1358),KOSDAQ,5,0.464,0.083,0.194
multiyear,대(1358),KOSPI,1,0.521,0.013,0.842
multiyear,대(1358),KOSPI,5,0.531,0.152,0.018
multiyear,대(1358),KOSDAQ,1,0.531,0.081,0.205
multiyear,대(1358),KOSDAQ,5,0.448,0.012,0.853
multiyear,대(1358),KOSPI,1,0.587,0.101,0.115
multiyear,대(1358),KOSPI,5,0.531,0.158,0.013
multiyear,대(1358),KOSDAQ,1,0.537,0.043,0.5
multiyear,대(1358),KOSDAQ,5,0.458,0.075,0.246
multiyear,대(1358),KOSPI,1,0.563,0.088,0.171
multiyear,대(1358),KOSPI,5,0.52,0.155,0.015
multiyear,대(1358),KOSDAQ,1,0.451,0.084,0.191
multiyear,대(1358),KOSDAQ,5,0.417,0.065,0.311
multiyear,대(1358),KOSPI,1,0.509,0.086,0.18
multiyear,대(1358),KOSPI,5,0.475,0.117,0.067
multiyear,대(1358),KOSDAQ,1,0.486,0.067,0.295
multiyear,대(1358),KOSDAQ,5,0.448,0.062,0.338
multiyear,대(1358),KOSPI,1,0.527,0.109,0.09
multiyear,대(1358),KOSPI,5,0.525,0.115,0.072
