model,index,horizon,macro_f1,bin_acc,IC,IC_p,input
TF-IDF,KOSPI,1,0.3304419939035324,0.48502994011976047,-0.033755044215621886,0.5997829702887418,top30
TF-IDF,KOSPI,5,0.3684478383440272,0.5307262569832403,0.023564592807371883,0.7141774886391681,top30
TF-IDF,KOSPI,21,0.30085489686452876,0.4606741573033708,0.0021395321941770026,0.9734760375171249,top30
TF-IDF,KOSPI,252,0.2632728769058567,0.7486033519553073,-0.18124976766662948,0.004508023705147938,top30
TF-IDF,KOSDAQ,1,0.31476077048765166,0.49142857142857144,0.04034133386202082,0.5305469666372213,top30
TF-IDF,KOSDAQ,5,0.2745648339851238,0.453125,-0.0017983635469974266,0.9777043362595077,top30
TF-IDF,KOSDAQ,21,0.23933700177478312,0.372972972972973,-0.07338760640868369,0.2534519207779725,top30
TF-IDF,KOSDAQ,252,0.30033670033670035,0.49767441860465117,-0.045222606346728124,0.48197342437773727,top30
wordcount,KOSPI,1,0.3462685931040361,0.5149700598802395,0.061316332338476394,0.34019948892650387,top30
wordcount,KOSPI,5,0.2752677647545089,0.4972067039106145,0.014734635435595058,0.8188744371782971,top30
wordcount,KOSPI,21,0.2740234053334522,0.46629213483146065,-0.08919318763961578,0.1648761298709289,top30
wordcount,KOSPI,252,0.2393733250876108,0.4581005586592179,-0.11647340790770631,0.0693371549518402,top30
wordcount,KOSDAQ,1,0.3172647582141644,0.5428571428571428,0.04451597309432259,0.4888530516266335,top30
wordcount,KOSDAQ,5,0.26291410280315747,0.4583333333333333,-0.023485838113079537,0.7150912337056847,top30
wordcount,KOSDAQ,21,0.24731716018263603,0.43243243243243246,-0.18151454275697643,0.004448748627111554,top30
wordcount,KOSDAQ,252,0.28540522771292004,0.48372093023255813,-0.1309522235735444,0.040968900946898076,top30
TF-IDF,KOSPI,1,0.2998958788526173,0.5209580838323353,0.011327129516044426,0.8602684166786715,all
TF-IDF,KOSPI,5,0.34959009417126546,0.4748603351955307,-0.03486033150357896,0.5878844307577242,all
TF-IDF,KOSPI,21,0.303658727288538,0.5112359550561798,0.12946730604810228,0.04333461156134235,all
TF-IDF,KOSPI,252,0.22375710482768543,0.8379888268156425,-0.398149593778009,1.0731426946249752e-10,all
TF-IDF,KOSDAQ,1,0.2647190560034597,0.45714285714285713,-0.011669124237430247,0.8560946560176331,all
TF-IDF,KOSDAQ,5,0.2786086956521739,0.484375,-0.03598048812724847,0.5759377080126613,all
TF-IDF,KOSDAQ,21,0.29072920737705016,0.5135135135135135,-0.0827800701337001,0.19752367219343087,all
TF-IDF,KOSDAQ,252,0.29426129426129427,0.6093023255813953,0.22969323734351055,0.0002968978953909635,all
wordcount,KOSPI,1,0.3062388591800357,0.46107784431137727,-0.07729219045716697,0.22899830206820862,all
wordcount,KOSPI,5,0.32433496772076986,0.44692737430167595,-0.06340094824784633,0.32400478371822106,all
wordcount,KOSPI,21,0.3542954842665766,0.4550561797752809,0.0017860876827937992,0.9778564903985145,all
wordcount,KOSPI,252,0.231570335473579,0.7374301675977654,-0.33259902611070263,1.0323162184050719e-07,all
wordcount,KOSDAQ,1,0.3179147734219634,0.46285714285714286,-0.06197637495840079,0.33501696746667853,all
wordcount,KOSDAQ,5,0.2791170409517954,0.3802083333333333,-0.08807564836161252,0.1702542290976327,all
wordcount,KOSDAQ,21,0.2943213752737562,0.33513513513513515,-0.06373478096764679,0.32145848202362814,all
wordcount,KOSDAQ,252,0.2265189205487713,0.3627906976744186,-0.34375515370977694,3.569814645568311e-08,all
RoBERTa,KOSPI,1,0.31771246804761005,0.5748502994011976,0.1198526283616057,0.0615827819366778,top30
RoBERTa,KOSPI,5,0.2977888565757282,0.5418994413407822,0.1822674910887244,0.0042840030986993,top30
RoBERTa,KOSPI,21,0.3253738272270518,0.5786516853932584,0.1620559334845049,0.0112390977411537,top30
RoBERTa,KOSPI,252,0.27749516936787727,0.6256983240223464,-0.035095762652359,0.5853640707442906,top30
RoBERTa,KOSDAQ,1,0.29314557613168724,0.5371428571428571,0.062523078448137,0.3307628435694389,top30
RoBERTa,KOSDAQ,5,0.27524396397933143,0.4739583333333333,0.1122543978125555,0.0801181722091892,top30
RoBERTa,KOSDAQ,21,0.3172706756936148,0.5621621621621622,0.1046974709738175,0.1027815594946208,top30
RoBERTa,KOSDAQ,252,0.2882352941176471,0.4651162790697674,-0.0104754470094048,0.8706791208299517,top30
