model,index,horizon,n,bin_acc,bin_p,auc,IC,IC_p,ls_ret,ls_p,hit
TF-IDF,KOSDAQ,1,244,0.4514285714285714,0.22637499879272135,0.4503666841278156,-0.06964962062542078,0.2785015289634539,-0.000269337046257483,0.7864427114577085,0.48770491803278687
TF-IDF,KOSDAQ,5,244,0.4166666666666667,0.025016096927259472,0.388470066518847,-0.18442932728647013,0.003841100752082576,-0.0035887186179128783,0.08818236352729454,0.4180327868852459
TF-IDF,KOSDAQ,21,244,0.44324324324324327,0.1412375590102102,0.45408550467998987,-0.059842467648868886,0.35195516338203925,-0.004182381833776023,0.22435512897420515,0.4426229508196721
TF-IDF,KOSDAQ,252,244,0.5116279069767442,0.7850844790200854,0.5265863169088976,0.05563692386487077,0.3868828142116515,0.012393697816734559,0.29934013197360526,0.5122950819672131
TF-IDF,KOSPI,1,244,0.49700598802395207,1.0,0.5133620689655173,0.024161844458487704,0.7072612588450462,-0.00011408588391173126,0.8842231553689263,0.5081967213114754
TF-IDF,KOSPI,5,244,0.4748603351955307,0.5499954415754418,0.44193306693306694,-0.1055375884415697,0.10003568617221871,-0.0012086321593172747,0.4585082983403319,0.47540983606557374
TF-IDF,KOSPI,21,244,0.449438202247191,0.20246043236353478,0.46944444444444444,-0.01741860071290204,0.7866136268510622,-0.001912461668622212,0.4413117376524695,0.5
TF-IDF,KOSPI,252,244,0.8547486033519553,4.323794758081699e-23,0.3707893413775767,-0.1112424569099042,0.08289573802381899,0.22116109321004826,0.0001999600079984003,0.7131147540983607
wordcount,KOSDAQ,1,244,0.41714285714285715,0.03399457659794051,0.38004190675746463,-0.16580657700195747,0.00946828410222066,-0.0016247871237111237,0.1261747650469906,0.43171806167400884
wordcount,KOSDAQ,5,244,0.4427083333333333,0.1294189315157585,0.47267184035476717,-0.06554376908716199,0.3078869636937487,-0.004845913062467917,0.02959408118376325,0.45374449339207046
wordcount,KOSDAQ,21,244,0.41621621621621624,0.027138779700964785,0.566089046293954,0.07454487863682194,0.24602292097633968,-0.010459806251301317,0.003599280143971206,0.42731277533039647
wordcount,KOSDAQ,252,244,0.4,0.00407258280289986,0.4424849344204183,-0.08095033479984791,0.20764758064159272,0.0047724271844900665,0.7032593481303739,0.4008810572687225
wordcount,KOSPI,1,244,0.4251497005988024,0.06296242380456342,0.3920258620689655,-0.14422321785676295,0.024255224549616674,-0.0010066987349452118,0.22035592881423716,0.4801762114537445
wordcount,KOSPI,5,244,0.4972067039106145,1.0,0.4993756243756244,-0.04046460417595984,0.5292906041193955,-0.00190199490207403,0.26754649070185965,0.4889867841409692
wordcount,KOSPI,21,244,0.5056179775280899,0.9402799587020475,0.5349116161616163,0.08232603937964544,0.20000168070903315,0.0005295267424327716,0.8426314737052589,0.5066079295154186
wordcount,KOSPI,252,244,0.7206703910614525,3.0975553418291942e-09,0.432378079436903,-0.09256118203476062,0.14943677679702003,0.17336069549980646,0.0001999600079984003,0.6563876651982379
RoBERTa,KOSDAQ,1,244,0.4742857142857143,0.5454726578478978,0.5811943425877423,0.09833009099207382,0.1255737079632336,-0.0008895978572480145,0.3703259348130374,0.45901639344262296
RoBERTa,KOSDAQ,5,244,0.4270833333333333,0.05106475467817673,0.5297117516629711,0.06807637635866146,0.2895289020121341,-0.0037421307170415075,0.07418516296740651,0.45081967213114754
RoBERTa,KOSDAQ,21,244,0.6378378378378379,0.00021785347986380465,0.5396534277763723,0.012940457785733061,0.8406150264355849,0.01322072804094365,0.0001999600079984003,0.6065573770491803
RoBERTa,KOSDAQ,252,244,0.5767441860465117,0.028845836966671357,0.47155264090747967,-0.05459854858761962,0.3958197080424466,-0.015595499879014,0.20355928814237154,0.5819672131147541
RoBERTa,KOSPI,1,244,0.47904191616766467,0.6425688093388651,0.5346264367816091,0.05143798867452263,0.4237740712663094,-0.0003613936510500312,0.643871225754849,0.4918032786885246
RoBERTa,KOSPI,5,244,0.5083798882681564,0.8812234734185145,0.5651848151848151,0.09357190356409716,0.14502434069686762,-0.0007504640403881549,0.6492701459708058,0.5
RoBERTa,KOSPI,21,244,0.4943820224719101,0.9402799587020475,0.49179292929292934,0.020600638555361424,0.7488365686641205,-0.000174156621767095,0.9432113577284543,0.4918032786885246
RoBERTa,KOSPI,252,244,0.1452513966480447,4.323794758081699e-23,0.47737556561085975,-0.06809577504347215,0.28939117539394854,-0.22095636708911082,0.0001999600079984003,0.29098360655737704
