seed,index,horizon,bin_acc,IC
42,KOSDAQ,1,0.531,0.038
42,KOSDAQ,5,0.469,-0.021
42,KOSPI,1,0.539,0.157
42,KOSPI,5,0.564,0.123
0,KOSDAQ,1,0.474,0.043
0,KOSDAQ,5,0.427,0.031
0,KOSPI,1,0.479,0.085
0,KOSPI,5,0.508,-0.022
1,KOSDAQ,1,0.554,-0.041
1,KOSDAQ,5,0.448,-0.028
1,KOSPI,1,0.497,-0.007
1,KOSPI,5,0.497,0.025
2,KOSDAQ,1,0.474,0.043
2,KOSDAQ,5,0.427,-0.023
2,KOSPI,1,0.479,0.063
2,KOSPI,5,0.508,-0.033
3,KOSDAQ,1,0.469,0.022
3,KOSDAQ,5,0.427,0.004
3,KOSPI,1,0.473,0.045
3,KOSPI,5,0.508,-0.024
4,KOSDAQ,1,0.497,0.048
4,KOSDAQ,5,0.458,0.016
4,KOSPI,1,0.509,0.105
4,KOSPI,5,0.542,0.098
